genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_015556985.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,1001311H_170123_E5,GCF_015556985.1,11,2068934,188084.9,408285,309078,122504,433712.033,5263,671973,19.73407561575188,ASM1555698v1,1254,,GCF_015556985.1,GCA_015556985.1,yes,SAMN15533290,Icahn School of Medicine at Mount Sinai,2020-11-17,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,11,0.4188229300693014,2068934,0.0,0.0,0.0,0.0
GCF_900163535.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,S7,GCF_900163535.1,13,2016878,155144.5,405883,230638,90439,398607.494,2250,663367,20.12432085629373,ASM90016353v1,1254,,GCF_900163535.1,GCA_900163535.1,yes,SAMEA80353168,MICALIS,2017-02-11,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,13,0.4206045184686431,2016878,0.0,0.0,0.0,0.0
GCF_001436795.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,AS1.2696,GCF_001436795.1,18,1928516,107139.8,405421,302624,127230,388382.288,371,608266,21.022433829950074,ASM143679v1,1254,,GCF_001436795.1,GCA_001436795.1,yes,SAMN02797809,Shanghai Majorbio,2015-11-06,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,18,0.42134625795171,1928516,0.0,0.0,0.0,0.0
GCF_014651255.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,JCM 8797,GCF_014651255.1,15,1934699,128979.9,396382,303099,127575,416623.147,503,658823,20.488044910345227,ASM1465125v1,1254,,GCF_014651255.1,GCA_014651255.1,yes,SAMD00245555,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),2020-09-11,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,15,0.4213797598489481,1934699,0.0,0.0,0.0,0.0
GCF_019583525.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,R91,GCF_019583525.1,20,1949381,97469.1,382044,214739,72628,370964.919,254,636588,19.59822117892808,ASM1958352v1,1254,,GCF_019583525.1,GCA_019583525.1,yes,SAMN11831043,University of Surrey,2021-08-12,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,20,0.4218836646094324,1949381,1.0,1.0,1.0,1.0
GCF_015557385.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,J1101004_170508_C3,GCF_015557385.1,17,1942549,114267.6,393151,310946,68507,372818.549,1244,598363,20.238923188037987,ASM1555738v1,1254,,GCF_015557385.1,GCA_015557385.1,yes,SAMN15533033,Icahn School of Medicine at Mount Sinai,2020-11-17,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,17,0.4217690261609874,1942549,1.0,1.0,1.0,1.0
GCF_009807985.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,FAM19475,GCF_009807985.1,14,2065399,147528.5,342451,239533,78955,354374.465,443,564253,16.5803798684903,ASM980798v1,1254,,GCF_009807985.1,GCA_009807985.1,yes,SAMN13008314,Agroscope,2019-12-30,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,14,0.4199992350146388,2065399,0.0,0.0,0.0,0.0
GCF_009808295.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,FAM19461,GCF_009808295.1,14,2065399,147528.5,342451,239533,78955,354374.465,443,564253,16.5803798684903,ASM980829v1,1254,,GCF_009808295.1,GCA_009808295.1,yes,SAMN13008415,Agroscope,2019-12-30,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,14,0.4199992350146388,2065399,0.0,0.0,0.0,0.0
GCF_009809055.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,FAM19462,GCF_009809055.1,14,2026411,144743.6,342451,239533,108647,359426.431,443,564253,16.899385169148804,ASM980905v1,1254,,GCF_009809055.1,GCA_009809055.1,yes,SAMN13008376,Agroscope,2019-12-30,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,14,0.4202997318905197,2026411,0.0,0.0,0.0,0.0
GCF_009809125.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,FAM19464,GCF_009809125.1,16,2066534,129158.4,342451,239533,78955,354297.498,254,564253,16.571273446263163,ASM980912v1,1254,,GCF_009809125.1,GCA_009809125.1,yes,SAMN13008372,Agroscope,2019-12-30,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,16,0.4200269630211746,2066534,0.0,0.0,0.0,0.0
GCF_009807835.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,FAM18986,GCF_009807835.1,11,1958564,178051.3,342070,233304,132571,319787.457,443,442930,17.46534706039731,ASM980783v1,1254,,GCF_009807835.1,GCA_009807835.1,yes,SAMN13008324,Agroscope,2019-12-30,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,11,0.4202660724898446,1958564,0.0,0.0,0.0,0.0
GCF_009809895.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,FAM18988,GCF_009809895.1,11,1958615,178055.9,342070,233304,132571,319779.412,443,442930,17.464892283577935,ASM980989v1,1254,,GCF_009809895.1,GCA_009809895.1,yes,SAMN13008331,Agroscope,2019-12-30,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,11,0.4202699356432989,1958615,0.0,0.0,0.0,0.0
GCF_016890175.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,C3,GCF_016890175.1,19,2109575,111030.3,335770,267205,76505,281932.781,790,406482,15.916476067454346,ASM1689017v1,1254,,GCF_016890175.1,GCA_016890175.1,yes,SAMN17825112,Jashore University of Science and Technology,2021-02-15,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,19,0.419086308853679,2109575,0.0,0.0,0.0,0.0
GCF_016890125.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,C6,GCF_016890125.1,20,2114112,105705.6,335604,267283,48935,302556.686,790,452119,15.87446644264826,ASM1689012v1,1254,,GCF_016890125.1,GCA_016890125.1,yes,SAMN17825113,Jashore University of Science and Technology,2021-02-15,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,20,0.4187498107952653,2114112,0.0,0.0,0.0,0.0
GCF_002553675.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,UMNPBX20,GCF_002553675.1,85,2033621,23925.0,326728,129560,88430,321351.587,204,534649,16.06631717512752,ASM255367v1,1254,,GCF_002553675.1,GCA_002553675.1,yes,SAMN07702371,University of Minnesota,2017-10-16,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,85,0.4216877186063676,2033621,0.0,0.0,0.0,0.0
